SiteName,EntranceCounters,FlowCounters,CrossOverCounters,InterLevelCounters,
BASSA EL MORO,6,0,0,0,
centranorte,10,1,0,0,
Sunny Acres,4,5,0,0,
foresthillcity,9,0,0,0,
RIYADH GALLERY,8,0,0,0,
sandtoncity,37,49,0,26,
The Curve,70,5,0,37,
